Company,URL,IndustryCode,IndustryCodeDescription
Sms Product Services Ltd,https://smselectronics.com/,32,"(32)  Manufacture of Radio, Television and Communication Equipment and Apparatus"
Snigwig Ltd,https://www.snigwig.co.uk/,50,"(50)  Sale, Maint/Repair of Motor Vehicles/Cycles; Retail Sale of Automotive Fuel"
Soar Valley Steel Boats Ltd,http://soarvalleysteelboats.co.uk/,35,(35)  Manufacture of Other Transport Equipment
Social Impact Group Ltd,https://www.socialimpactgroup.org.uk/,74,(74)  Other Business Activities
Socialit Ltd,http://www.socialit.co.uk,74,(74)  Other Business Activities
Soft Options,http://www.softoptionsreupholstery.co.uk,36,(36)  Manufacture of Furniture; Manufacturing Not Elsewhere Classified
Software4labs Ltd,http://www.software4labs.co.uk,72,(72)  Computer and Related Activities
Software Labs Ltd,http://www.softwarelabs.co.uk,72,(72)  Computer and Related Activities
So Hairdressing Ltd,http://www.sohairdressing.com,74,(74)  Other Business Activities
Soho Computer Doctors Ltd.,http://www.sohocd.com,72,(72)  Computer and Related Activities
Solar Information Systems Ltd,http://www.solar-is.co.uk,72,(72)  Computer and Related Activities
Sole Divas,http://www.soledivas.co.uk,92,"(92)  Recreational, Cultural and Sporting Activities"
Solent Medical Services Ltd,http://www.solentmedicalservices.co.uk,85,(85)  Health and Social Work
Sole Trader,http://www.soletrader.co.uk,64,(64)  Post and Telecommunications
Sole Trader,http://www.soletrader.co.uk,52,"(52)  Retail Trade, Exc. Motor Vehicles/Cycles; Repair of Personal/House'd Goods"
Solirius Ltd,http://www.solirius.co.uk,72,(72)  Computer and Related Activities
Comyn Ching (1723) Ltd,http://www.solray.co.uk,65,"(65)  Financial Intermediation, Except Insurance and Pension Funding"
Solihull School,http://www.solsch.org.uk/page/default.asp?title=Home&pid=1,80,(80)  Education
Soltys Brewster Consulting Ltd,http://www.soltysbrewster.co.uk,74,(74)  Other Business Activities
Solutions for Housing Ltd,http://www.solutionsforhousingltd.co.uk,74,(74)  Other Business Activities
Solvay Solutions Uk Ltd,https://www.solvay.cn/zh/index.html,24,(24)  Manufacture of Chemicals and Chemical Products
Solway Insulation Services Ltd,https://www.solwayinsulation.co.uk/,45,(45)  Construction
Endurance Business Services Ltd,http://www.sompo-intl.com,66,"(66)  Insurance and Pension Funding, Except Compulsory Social Security"
Sonkar Properties Ltd,http://inpimlico.co.uk/,70,(70)  Real Estate Activities
The Sons of Divine Providence,http://www.sonsofdivineprovidence.org,85,(85)  Health and Social Work
Sony Centre,https://www.sony.co.uk/,51,"(51)  Wholesale & Commission Trade, Except of Motor Vehicles and Motorcycles"
Columbia Pictures Corporation Ltd,https://www.sony.co.uk/,92,"(92)  Recreational, Cultural and Sporting Activities"
Soothe-Me Ltd,http://www.soothe-me.com,52,"(52)  Retail Trade, Exc. Motor Vehicles/Cycles; Repair of Personal/House'd Goods"
So Plausable Ltd,http://www.soplausable.com,72,(72)  Computer and Related Activities
S.O.S. Builders Ltd,https://www.sosgroupservices.co.uk/,45,(45)  Construction
Sota Interiors Ltd,https://www.sotainteriors.com/,45,(45)  Construction
Sound Design Distribution Ltd,http://www.sounddesigndistribution.co.uk,51,"(51)  Wholesale & Commission Trade, Except of Motor Vehicles and Motorcycles"
Source Graphics Ltd,http://www.sourcegraphics.co.uk,52,"(52)  Retail Trade, Exc. Motor Vehicles/Cycles; Repair of Personal/House'd Goods"
Southbank Studios Ltd,http://www.southbankclub.webs.com,92,"(92)  Recreational, Cultural and Sporting Activities"
South Coast Welding Supplies Ltd,http://southcoastwelding.co.uk/,29,(29)  Manufacture of Machinery and Equipment Not Elsewhere Classified
South East Wales Rivers Trust,http://southeastwalesriverstrust.org.uk/,05,"(05)  Fishing, Fish Farming and Related Service Activities"
